DNGid,uid,level,text,ref,links,active,derived,header,normative,reviewed,group
199856,ZEP074,5.2.6,The rbtree node struct must be placeable in in any user-controlled memory,,,TRUE,,Rbtree in user-controlled memory,TRUE,TRUE,Data Structures
199358,ZEP075,5.3,"Zephyr shall provide a doubly-linked list ""dlist"" data structure",,,TRUE,,dlist Data Structure,FALSE,TRUE,Data Structures
199843,ZEP076,5.3.1,The dlist node struct must be embeddedable in any user struct,,,TRUE,,Embeddedable dlist struct,TRUE,TRUE,Data Structures
199847,ZEP077,5.3.2,"The dlist shall provide constant time access to the ""head"" and ""tail"" of the list",,,TRUE,,Dlist constant time access,TRUE,TRUE,Data Structures
199844,ZEP078,5.3.3,The dlist node struct must be placeable in any user-controlled memory,,,TRUE,,Place-able dlist node struct,TRUE,TRUE,Data Structures
199846,ZEP079,5.3.4,"The dlist shall provide a ""for each"" style iteration API",,,TRUE,,"Dlist ""for each"" style iteration API",TRUE,TRUE,Data Structures
199845,ZEP080,5.3.5,The dlist insert and remove operations must run in constant time,,,TRUE,,Dlist insert and remove operations,TRUE,TRUE,Data Structures
199112,ZEP081,6,Device Driver Abstracting,,,TRUE,,,FALSE,TRUE,Device Driver
199385,ZEP082,6.1,"The system shall provide abstraction of device drivers with common functionalities (e.g. I2C, SPI) as an intermediate interface between applications and device drivers, where such interface is implemented by individual device drivers.",,,TRUE,,Device Driver Abstraction,FALSE,TRUE,Device Driver
199902,ZEP083,6.1.1,"The kernel shall provide control over device driver initalization order, using initialization level and priority for each instance.",,,TRUE,,Providing control device driver initialization order,TRUE,TRUE,Device Driver
199901,ZEP084,6.1.2,The kernel shall provide APIs to return the device driver instance given an identifier associated with that instance.,,,TRUE,,APIs to return the device driver instance,TRUE,TRUE,Device Driver
199905,ZEP085,6.1.3,"Abstraction of device drivers with common functionalities (e.g. I2C, SPI) shall be provided as an intermediate interface between applications and device drivers, where such interface is implemented by individual device drivers.",,,TRUE,,Abstraction of device drivers with common functionalities,TRUE,TRUE,Device Driver
199907,ZEP086,6.1.4,The kernel shall provide APIs to enable and disable automatic idle power management,,,TRUE,,APIs to enable and disable automatic idle power management,TRUE,TRUE,Device Driver
199903,ZEP087,6.1.5,The kernel shall support initialisation priorities for device driver instances.,,,TRUE,,Initialization priorities for device driver instances,TRUE,TRUE,Device Driver
199904,ZEP088,6.1.6,The kernel shall provide APIs to connect interrupts to device driver instances.,,,TRUE,,APIs to connect interrupts to device driver instances,TRUE,TRUE,Device Driver
199900,ZEP089,6.1.7,"The kernel shall provide APIs for developers to define and instantiate a device driver instance, where each instance has an identifier.",,,TRUE,,APIs to define and instantiate a device driver instance,TRUE,TRUE,Device Driver
199906,ZEP090,6.1.8,The kernel shall provide APIs for applications for getting the current power states and to manipulate the power states of devices.,,,TRUE,,APIs for applications for getting and manipulating power states,TRUE,TRUE,Device Driver
199117,ZEP091,7,Dynamic Memory Allocation,,,TRUE,,,FALSE,TRUE,Memory Pool / Memory Slabs
199262,ZEP092,7.1,The kernel shall support a memory pool object that allows threads to dynamically allocate variable-sized memory from a specified memory region in a malloc()-like manner.,,,TRUE,,Dynamic Memory Pool Object,FALSE,TRUE,Memory Pool / Memory Slabs
199945,ZEP093,7.1.1,An application shall be able to define any number of memory pools,,,TRUE,,Application definition of memory pools,TRUE,TRUE,Memory Pool / Memory Slabs
199948,ZEP094,7.1.2,"The kernel shall support providing a timeout value to allocating memory, to wait if there are no free memory blocks for one to become available",,,TRUE,,Timeout values to allocating memory,TRUE,TRUE,Memory Pool / Memory Slabs
199946,ZEP095,7.1.3,A thread can dynamically allocate a region of heap memory,,,TRUE,,Dynamically allocated heap memory region,TRUE,TRUE,Memory Pool / Memory Slabs
199944,ZEP096,7.1.4,A memory pool can be defined and initialized at compile time,,,TRUE,,Memory pool initialization and definition at compile time,TRUE,TRUE,Memory Pool / Memory Slabs
199947,ZEP097,7.1.5,When the thread is finished with a region of heap memory it shall be able to release the region back to the heap memory pool,,,TRUE,,Releasing heap memory to pool,TRUE,TRUE,Memory Pool / Memory Slabs
199949,ZEP098,7.1.6,The memory pool API must be useable from user mode managing memory within the protected space.,,,TRUE,,Memory pool API,TRUE,TRUE,Memory Pool / Memory Slabs
199950,ZEP099,7.1.7,The kernel shall ensure that the memory pool buffer is aligned to native word length boundaries,,,TRUE,,Memory pool buffer alignment,TRUE,TRUE,Memory Pool / Memory Slabs
199263,ZEP100,7.2,The kernel shall support a memory slab object that allows threads to dynamically allocate fixed-sized memory from a specified memory region,,,TRUE,,Memory Slab Object,FALSE,TRUE,Memory Pool / Memory Slabs
199951,ZEP101,7.2.1,"An application shall be able to define any number of memory slabs, with each slab containing an arbitrary number of fixed-sized blocks",,,TRUE,,Application definition of memory slabs,TRUE,TRUE,Memory Pool / Memory Slabs
199954,ZEP102,7.2.2,The kernel shall ensure that the memory slab buffer is aligned to native word length boundaries,,,TRUE,,Memory slab buffer alignment,TRUE,TRUE,Memory Pool / Memory Slabs
199953,ZEP103,7.2.3,A memory slab must be initialized before it can be used. This marks all of its blocks as unused.,,,TRUE,,Memory slab intialization,TRUE,TRUE,Memory Pool / Memory Slabs
199952,ZEP104,7.2.4,A memory slab can be defined and initialized at compile time,,,TRUE,,Memory slab initialization and definition at compile time,TRUE,TRUE,Memory Pool / Memory Slabs
199106,ZEP105,8,Fatal Exception handling,,,TRUE,,,FALSE,TRUE,Fatal Exception Handling
199348,ZEP106,8.1,The kernel shall provide handlers for fatal errors or exceptions that do not have a dedicated handler,,,TRUE,,Fatal Exception Error Handling,FALSE,TRUE,Fatal Exception Handling
199790,ZEP107,8.1.1,"The default policy for fatal errors shall be to suspend all threads, attempt to flush output buffers, and halt the system.",,,TRUE,,Fatal error default policy,TRUE,TRUE,Fatal Exception Handling
199787,ZEP108,8.1.2,A fatal error which is the result of a stack overflow will report a distinct reason code for this condition,,,TRUE,,Results of a stack overflow,TRUE,TRUE,Fatal Exception Handling
199788,ZEP109,8.1.3,"If kernel debugging messages are enabled, the fatal error should dump the ID of the faulting thread and the type of the error",,,TRUE,,Fatal error kernel debugging messages,TRUE,TRUE,Fatal Exception Handling
199785,ZEP110,8.1.4,A fatal error which occurs while servicing an interrupt or exception shall have a specific reason code,,,TRUE,,Specific reason code for fatal errors,TRUE,TRUE,Fatal Exception Handling
199786,ZEP111,8.1.5,"The application must be able to override the fatal error handling function to implement their own policy upon fatal error, which gets passed the reason for the fatal error and an architecture-specific struct containing the system register state",,,TRUE,,Applications implementing their own policy upon fatal error,TRUE,TRUE,Fatal Exception Handling
199789,ZEP112,8.1.6,Any processing or examination of the faulting thread's stack during fatal error handling must treat the stack contents as untrusted and potentionally malicious.,,,TRUE,,Processing or examination of the faulting thread's stack,TRUE,TRUE,Fatal Exception Handling
199783,ZEP113,8.1.7,Any interrupt or exception that does not have a handler installed shall trigger a fatal error,,,TRUE,,Interrupts or exception without handlers,TRUE,TRUE,Fatal Exception Handling
199784,ZEP114,8.1.8,"A fatal error may be deliberately induced at runtime, with an integer reason code",,,TRUE,,Inducing fatal error at runtime,TRUE,TRUE,Fatal Exception Handling
,ZEP115,9,File Sysytem,,,TRUE,,,FALSE,TRUE,File System
205738,ZEP116,9.1,The system shall provide an abstraction for file system operations that is file system agnostic,,,TRUE,,Agnostic File system abstraction,FALSE,TRUE,File System
205537,ZEP117,9.1.1,The system shall support multiple file systems simultanously,,,TRUE,,Multiple File System Support,TRUE,TRUE,File System
205538,ZEP118,9.1.2,The system shall support registering and unregistering file system backends,,,TRUE,,File system backend registering and unregistering ,TRUE,TRUE,File System
205739,ZEP119,9.2,The system shall support common file system operations through a general interface,,,TRUE,,General interface for common file system operations,FALSE,TRUE,File System
205546,ZEP120,9.2.1,The system shall provide an interface to flush the associated stream and closes the file,,,TRUE,,Interface to flush stream and close a file,TRUE,TRUE,File System
205548,ZEP121,9.2.2,The system shall provide an interface to read directory entries of a open directory,,,TRUE,,Interface to read directory entries,TRUE,TRUE,File System
205545,ZEP122,9.2.3,The system shall provide an interface to flush the cache of an open file,,,TRUE,,Interface for flushing cache of an open file,TRUE,TRUE,File System
205544,ZEP123,9.2.4,The system shall provide an interface to truncate the file to the new length,,,TRUE,,Interface to truncate a file,TRUE,TRUE,File System
205550,ZEP124,9.2.5,The system shall provide an interface to mount a file system,,,TRUE,,Interface to mount a file system,TRUE,TRUE,File System
205541,ZEP125,9.2.6,The system shall provide an interface to write items of data of size bytes long,,,TRUE,,Interface for writing items,TRUE,TRUE,File System
205555,ZEP126,9.2.7,The system shall provide an interface to check the status of a file or directory specified by the path,,,TRUE,,Interface to check the status of a file or directory,TRUE,TRUE,File System
205543,ZEP127,9.2.8,The system shall provide an interface to retrieve the current position in the file,,,TRUE,,Interface to retrieve current position,TRUE,TRUE,File System
205549,ZEP128,9.2.9,The system shall provide an interface to close an open directory,,,TRUE,,Interface to close an open directory,TRUE,TRUE,File System
205552,ZEP129,9.2.10,The system shall provide an interface to delete the specified file or directory,,,TRUE,,Interface to delete file or directory,TRUE,TRUE,File System
205554,ZEP130,9.2.11,The system shall provide an interface to create a new directory using specified path,,,TRUE,,Interface to create a new directory,TRUE,TRUE,File System
205542,ZEP131,9.2.12,The system shall provide an interface to move the file position to a new location in the file,,,TRUE,,Interface to move file positions,TRUE,TRUE,File System
205547,ZEP132,9.2.13,The system shall provide an interface to open an existing directory specified by the path,,,TRUE,,Interface to open existing directory,TRUE,TRUE,File System
205556,ZEP133,9.2.14,The system shall provide an interface to return the total and available space in the filesystem volume,,,TRUE,,Interface to return total and available space in filesystem,TRUE,TRUE,File System
205553,ZEP134,9.2.15,The system shall provide an interface to rename a file or directory,,,TRUE,,Interface to rename file or directory,TRUE,TRUE,File System
205551,ZEP135,9.2.16,The system shall provide an interface to unmount a file system,,,TRUE,,Interface to un-mount a file system,TRUE,TRUE,File System
205540,ZEP136,9.2.17,The system shall provide an interface to read items of data of size bytes long,,,TRUE,,Interface for reading items,TRUE,TRUE,File System
205539,ZEP137,9.2.18,The system shall provide an interface to open an existing file or create a new file system,,,TRUE,,Interface for opening or creating a file system,TRUE,TRUE,File System
199090,ZEP138,10,Interrupt Service Routine,,,TRUE,,,FALSE,TRUE,Interrupts
199322,ZEP139,10.1,The kernel shall provide mechanisms to enable and disable mechanisms at runtime,,,TRUE,,Mechanisms to enable and disable mechanisms,FALSE,TRUE,Interrupts
199409,ZEP140,10.1.1,Individual interrupts may be disabled to prevent processing of their interrupt service routines,,,TRUE,,Disabling individual interrupts,TRUE,TRUE,Interrupts
199410,ZEP141,10.1.2,The kernel shall provide an API to mask/unmask all interrupts for the purposes of software mutual exclusion,,,TRUE,,Mask/unmask interrupt API,TRUE,TRUE,Interrupts
199324,ZEP142,10.2,The kernel shall support multi-level interrupts,,,TRUE,,Multi-level interrupt support,FALSE,TRUE,Interrupts
199419,ZEP143,10.2.1,The kernel shall provide a dedicated interrupt stack for processing hardware interrupts,,,TRUE,,Dedicated interrupt stack,TRUE,TRUE,Interrupts
199420,ZEP144,10.2.2,The kernel should support interrupt nesting allowing an ISR to be preempted in mid-execution if a higher priority interrupt is signaled. The lower priority ISR resumes execution once the higher priority ISR has completed its processing.,,,TRUE,,Interrupt nesting,TRUE,TRUE,Interrupts
199323,ZEP145,10.3,The kernel shall provide mechanisms for associating application code with specific interrupts,,,TRUE,,Application code association to interrupts,FALSE,TRUE,Interrupts
199414,ZEP146,10.3.1,"The user shall be able to supply a word-sized parameter when configuring interrupts, which are passed to the interrupt service routine when the interrupt happens.",,,TRUE,,Configuring interrupts,TRUE,TRUE,Interrupts
199413,ZEP147,10.3.2,The kernel shall support configuration of interrupts statically at build time.,,,TRUE,,Configuring interrupts statically at build time,TRUE,TRUE,Interrupts
199416,ZEP148,10.3.3,The kernel shall support configuration of interrupts dynamically at runtime.,,,TRUE,,Configuring interrupts dynamically at runtime,TRUE,TRUE,Interrupts
199418,ZEP149,10.3.4,"The kernel shall support multiple ISRs utilizing the same function to process interrupts, allowing a single function to service a device that generates multiple types of interrupts or to service multiple devices (usually of the same type)",,,TRUE,,Supporting multiple ISRs to process interrupts,TRUE,TRUE,Interrupts
199411,ZEP150,10.3.5,The kernel shall provide a mechanism for synchronously running code after interrupt acknowledgement but before return to user threads.,,,TRUE,,Synchronously run code after interrupt,TRUE,TRUE,Interrupts
199412,ZEP151,10.3.6,The kernel shall raise a fatal error if an interrupt or exception occurs that has no handler function installed,,,TRUE,,Raising a fatal error is for interrupt with no handler function ,TRUE,TRUE,Interrupts
199417,ZEP152,10.3.7,The kernel shall support the use of IDT or a vector table is used to associate a given interrupt source with a given ISR. Only a single ISR can be associated with a specific IRQ at any given time.,,,TRUE,,IDT vector table,TRUE,TRUE,Interrupts
199415,ZEP153,10.3.8,"The user should be able to configure ""direct"" interrupts which bypass common interrupt handling code, scheduling decisions, and parameters in order to service the interrupt in with the lowest latency possible.",,,TRUE,,"Configurable ""direct"" interrupts",TRUE,TRUE,Interrupts
,ZEP154,11,Kernel Clock,,,TRUE,,,FALSE,TRUE,Kernel Clocks
199325,ZEP155,11.1,The kernel shall provide a mechanism for the passage of realtime,,,TRUE,,Kernel clock for realtime passage of time,FALSE,TRUE,Kernel Clocks
199681,ZEP156,11.1.1,The kernel shall support a 64bit uptime counter,,,TRUE,,64bit uptime counter,TRUE,TRUE,Kernel Clocks
199682,ZEP157,11.1.2,The kernel shall provide a way to convert the time units used by the clocks into standard time units,,,TRUE,,Converting time units,TRUE,TRUE,Kernel Clocks
199683,ZEP158,11.1.3,The kernel shall allow providing time durations in milliseconds,,,TRUE,,Millisecond time duration,TRUE,TRUE,Kernel Clocks
199680,ZEP159,11.1.4,The kernel shall support 32bit hardware clocks,,,TRUE,,32bit hardware clocks,TRUE,TRUE,Kernel Clocks
199326,ZEP160,11.2,The kernel should minimize timer handling overhead ,,,TRUE,,Timer Handling overhead minimization,FALSE,TRUE,Kernel Clocks
200048,ZEP161,11.2.1,"The kernel shall support a ""tickless"" mode where timekeeping does not require the regular delivery of timer interrupts and interrupts reflect only registered events.",,,TRUE,,Tickless mode,TRUE,TRUE,Kernel Clocks
199111,ZEP162,12,Logging,,,TRUE,,,FALSE,TRUE,Logging
199372,ZEP163,12.1,The logging system shall support multi-processor systems,,,TRUE,,Multi-Processor Logging Support,FALSE,TRUE,Logging
199898,ZEP164,12.1.1,"The logging system shall support each core with its unique core ID, which may be a parameter of each log and trace message.",,,TRUE,,Unique core ID in logging system,TRUE,TRUE,Logging
199368,ZEP165,12.2,The operating system shall support deferred logging,,,TRUE,,Deferred Logging Support,FALSE,TRUE,Logging
199880,ZEP166,12.2.1,"The logging system shall switch to blocking, synchronous processing in panic mode",,,TRUE,,Logging system to switch blocking synchronous processing,TRUE,TRUE,Logging
199881,ZEP167,12.2.2,"The logging system shall support handling of transient strings, copying data when an asynchronous backend is in use",,,TRUE,,Logging system to support handling of transient strings,TRUE,TRUE,Logging
199882,ZEP168,12.2.3,Logging shall support synchronous processing of logging messages.,,,TRUE,,Synchronous processing of logging messages,TRUE,TRUE,Logging
199883,ZEP169,12.2.4,"The logging system shall provide early logging possibility. The API shall be able to handle log message attempts as well as creating new log contexts instances, before the backends are active",,,TRUE,,Early logging,TRUE,TRUE,Logging
199371,ZEP170,12.3,"The logging system shall support customizable log messages, formatting and post-processing",,,TRUE,,Customizable   Logging,FALSE,TRUE,Logging
199892,ZEP171,12.3.1,The logging system shall enable applications to provide information about its severity.,,,TRUE,,Enabling applications to provide information to logging system,TRUE,TRUE,Logging
199889,ZEP172,12.3.2,The logging system shall support user customizable timestamping in log messages,,,TRUE,,Customizable timestamping in log messages,TRUE,TRUE,Logging
199891,ZEP173,12.3.3,The logging system shall support dumping data using a dedicated API,,,TRUE,,Dedicated API for dumping data in logging system,TRUE,TRUE,Logging
199894,ZEP174,12.3.4,The logging system shall allow to select the destination of the provided logging information.,,,TRUE,,Selectable destination for logging information,TRUE,TRUE,Logging
199896,ZEP175,12.3.5,Logging buffer sizes and stack size for the logging thread shall be configurable,,,TRUE,,Logging buffer and stack size,TRUE,TRUE,Logging
199893,ZEP176,12.3.6,The logging system shall support logically group logging information by domain,,,TRUE,,Grouping logging information by domain,TRUE,TRUE,Logging
199890,ZEP177,12.3.7,The logging system shall enable Applications to provide additional information such as the domain being logged,,,TRUE,,Enabling applications to provide domain inforamtion,TRUE,TRUE,Logging
